Apartment_Name,Apartment_Location,Apartment_Rent,Apartment_Deposit,Apartment_Negotiable,Apartment_Image_URL,Apartment_Latitude,Apartment_Longitude,Cluster,Score
2 BHK Flat  In Rachana Myworld Apartments for Rent  In Baner,"Balewadi High St, Baner, Pune, Maharashtra 411045, India","₹ 30,000No Extra Maintenance","₹85,000",Rent (Non-Negotiable),Image URL not found,18.5644734,73.7848493,2,0.1562617783746093
1 RK Flat  In Sutar Classic for Rent  In Bavdhan Talathi Office Malwadi,near bombay bangalore highway,"₹ 7,500No Extra Maintenance","₹15,000",Rent (Non-Negotiable),Image URL not found,18.5937459,73.7569826,2,0.15211136104034628
"1 RK Flat  In Gurudatta Apartment, Navipeth for Rent  In Navi Peth","Ganjave chowk, Nr. Aswad boarding","₹ 10,000 +₹ 200Maintenance","₹15,000",Rent (Non-Negotiable),Image URL not found,18.5923633,73.7616448,2,0.1520499835079532
"3 BHK Flat  In Harsh Vihar, Aundh for Rent  In Harsh Vihar, Nagras Road, Ward No. 8, Wireless Colony, Aundh, Pune, Maharashtra, India","wireless colony, new dp road","₹ 30,000 +₹ 2,000Maintenance","₹1,00,000",Rent (Negotiable),Image URL not found,18.594686,73.769122,2,0.15100863259808764
3 BHK Flat  In Harmony Society for Rent  In Aundh,"New DP Road, Near Nandan Festiva","₹ 41,000No Extra Maintenance","₹1,50,000",Rent (Negotiable),Image URL not found,18.594686,73.769122,2,0.15100863259808764
1 BHK Flat  In Sanket Residency for Rent  In Patil Nagar,"Near Shivsena Party Office, Patil Nagar","₹ 13,500No Extra Maintenance","₹20,000",Rent (Non-Negotiable),Image URL not found,18.5801993,73.7643151,2,0.14984156643267726
1 BHK Apartment  In Madhu Villa for Rent  In Bhugaon,"Madhu VillaÂ  228, Mulshi Rd, Bhugaon, Bavdhan, Maharashtra 412115, India","₹ 8,000No Extra Maintenance","₹20,000",Rent (Non-Negotiable),Image URL not found,18.5826404,73.7362473,2,0.14368579221664968
2 BHK Flat  In Sanjeevani Apartments for Rent  In Deccan Gymkhana,"Sanjeevani Apartments, Lane Number 11, , Erandwane, Pune, Maharashtra 411004, India","₹ 1,00,000No Extra Maintenance","₹1,95,000",Rent (Negotiable),Image URL not found,18.5759584,73.8930605,0,0.15984709228863545
"2 BHK Apartment  In Shreeji Paradise, Aundh for Rent  In Aundh","Shreeji Paradise, AundhÂ  Near Medipoint Hospital, New DP Road, Aundh, Pune-411007, Maharashtra, INDIA.","₹ 26,000No Extra Maintenance","₹1,00,000",Rent (Non-Negotiable),Image URL not found,18.5754875,73.9068711,0,0.1568926665428996
2 BHK Flat  In Sant Apartment for Rent  In Aundh,"Near Parihar chowk traffic Signal,Sanghvi Nagar,  Aundh Gaon, Aundh, Pune, Maharashtra 411007, India","₹ 28,000No Extra Maintenance","₹50,000",Rent (Negotiable),Image URL not found,18.5644173,73.9138634,0,0.1530596163918442
"1 RK House  for Rent  In Mhatre Bridge, Dattawadi","Independent House, mhatre bridge oppositeshyamsunder society","₹ 12,000No Extra Maintenance","₹25,000",Rent (Non-Negotiable),Image URL not found,18.5359203,73.9340125,0,0.15227413353546873
1 BHK House  for Rent  In Dattawadi,"Independent House, Mhatre Bridge near Om Departmental Store","₹ 15,000No Extra Maintenance","₹30,000",Rent (Non-Negotiable),Image URL not found,18.5359203,73.9340125,0,0.15227413353546873
"2 BHK Apartment  In Eden Garden, Viman Nagar for Rent  In Viman Nagar","Eden Garden, Viman NagarÂ  Viman Nagar, Pune - 411014, Maharashtra, INDIA.","₹ 45,000No Extra Maintenance","₹1,00,000",Rent (Negotiable),Image URL not found,18.5007219,73.9018872,0,0.14910267610058975
"3 BHK Apartment  In Godrej Hillside, Mahalunge for Rent  In Mahalunge","Godrej Hillside, MahalungeÂ  Baner, Pune, Pune","₹ 34,000No Extra Maintenance","₹90,000",Rent (Negotiable),Image URL not found,18.5370249,73.8857919,0,0.14886883639469112
3 BHK Flat  In Nagras Road Aundh for Rent  In Nagras Road,nagras road,"₹ 40,000No Extra Maintenance","₹1,20,000",Rent (Negotiable),Image URL not found,18.5404042,73.8851792,0,0.14181800048205565
1 BHK Flat  In Rexon Chamb for Rent  In Infinity Library,"LBS road, near poona hospital","₹ 18,000 +₹ 300Maintenance","₹30,000",Rent (Non-Negotiable),Image URL not found,18.5404042,73.8851792,0,0.14181800048205565
1 BHK Flat  In Trimbak Hills Apartment Condominium for Rent  In Bavdhan,"1-1, Shri Krishna Nagar, Sagar Co-Operative Housing Society, Bavdhan, Pune, Maharashtra 411021, India","₹ 14,000No Extra Maintenance","₹35,000",Rent (Non-Negotiable),Image URL not found,18.5164341,73.7817975,1,0.15288460738210433
1 RK Flat  In R K Centre for Rent  In Dattawadi,V Kamble path near R.K. Chicken Center,"₹ 2,000No Extra Maintenance",₹1,Rent (Non-Negotiable),Image URL not found,18.4419196,73.7860736,1,0.14961240439864423
