,Property Title,Location,Rent Price,Deposit Price,Built-up Area,Image URL,Property Type,Furnishing,Preferred Tenants,Availability,Latitude,Longitude
0,1 BHK Flat  In Blossom Society  for Rent  In Baner,Baner Gaon Near  Tech Summit,"₹ 20,000No Extra Maintenance","₹70,000",Rent (Negotiable),https://images.nobroker.in/images/8a9fac82776bde5801776beb1ef20492/8a9fac82776bde5801776beb1ef20492_98514_625454_medium.jpg,Property type not found,Furnishing not found,Preferred tenants not found,Availability not found,,
1,2 BHK Flat  In Vanshri Apartments for Rent  In Bavdhan,"Vanshri Apartments,, Prabhat Housing Society, Sagar Co-Operative Housing Society, Bavdhan, Pune","₹ 22,000No Extra Maintenance","₹75,000",Rent (Negotiable),https://images.nobroker.in/images/8a9f94827ace5073017acea8d61a2b6c/8a9f94827ace5073017acea8d61a2b6c_93045_21617_medium.jpg,Property type not found,Furnishing not found,Preferred tenants not found,Availability not found,18.4642771,73.8198096
2,"2 BHK Apartment  In Shreeji Paradise, Aundh for Rent  In Aundh","Shreeji Paradise, AundhÂ  Near Medipoint Hospital, New DP Road, Aundh, Pune-411007, Maharashtra, INDIA.","₹ 26,000No Extra Maintenance","₹1,00,000",Rent (Non-Negotiable),Image URL not found,Property type not found,Furnishing not found,Preferred tenants not found,Availability not found,18.5754875,73.9068711
3,3 BHK Apartment  In Ganga Legend for Rent  In Bavdhan,"Ganga LegendÂ  DSK Ranwara Internal Rd, Ram Nagar, Bavdhan","₹ 45,000 +₹ 4,900Maintenance","₹1,40,000",Rent (Non-Negotiable),Image URL not found,Property type not found,Furnishing not found,Preferred tenants not found,Availability not found,18.5210015,73.7755672
4,"3 BHK Apartment  In Godrej Hillside, Mahalunge for Rent  In Mahalunge","Godrej Hillside, MahalungeÂ  Baner, Pune, Pune","₹ 34,000No Extra Maintenance","₹90,000",Rent (Negotiable),Image URL not found,Property type not found,Furnishing not found,Preferred tenants not found,Availability not found,18.5370249,73.8857919
5,2 BHK Apartment  In Nirman Milestone for Rent  In Ravet,"Nirman MilestoneÂ  Near Sentosa Resort, Ravet, Pune","₹ 18,000No Extra Maintenance","₹55,000",Rent (Negotiable),Image URL not found,Property type not found,Furnishing not found,Preferred tenants not found,Availability not found,,
6,1 BHK Flat  In Shriramnagar for Rent  In Aundh,"Shriramnagar, Sri Ram Nagar Society, Aundh, Pune, Maharashtra 411007, India","₹ 22,500No Extra Maintenance","₹60,000",Rent (Negotiable),Image URL not found,Property type not found,Furnishing not found,Preferred tenants not found,Availability not found,,
7,1 RK Flat  In Sutar Classic for Rent  In Bavdhan Talathi Office Malwadi,near bombay bangalore highway,"₹ 7,500No Extra Maintenance","₹15,000",Rent (Non-Negotiable),Image URL not found,Property type not found,Furnishing not found,Preferred tenants not found,Availability not found,18.5937459,73.7569826
8,3 BHK Apartment  In Maitreya Apartment  for Rent  In Baner,"Maitreya Apartment Â  Prathamesh Park Rd, Prathamesh Park, Baner, Pune","₹ 70,000No Extra Maintenance","₹2,50,000",Rent (Negotiable),Image URL not found,Property type not found,Furnishing not found,Preferred tenants not found,Availability not found,18.5620094,73.8042613
9,2 BHK Flat  In Swami Apartments for Rent  In Baner,"Balewadi Phata, Near Manohar Paradise","₹ 22,000 +₹ 1,250Maintenance","₹60,000",Rent (Non-Negotiable),Image URL not found,Property type not found,Furnishing not found,Preferred tenants not found,Availability not found,,
10,2 BHK Flat  In Rachana Myworld Apartments for Rent  In Baner,"Balewadi High St, Baner, Pune, Maharashtra 411045, India","₹ 30,000No Extra Maintenance","₹85,000",Rent (Non-Negotiable),Image URL not found,Property type not found,Furnishing not found,Preferred tenants not found,Availability not found,18.5644734,73.7848493
11,1 BHK Apartment  In Madhu Villa for Rent  In Bhugaon,"Madhu VillaÂ  228, Mulshi Rd, Bhugaon, Bavdhan, Maharashtra 412115, India","₹ 8,000No Extra Maintenance","₹20,000",Rent (Non-Negotiable),Image URL not found,Property type not found,Furnishing not found,Preferred tenants not found,Availability not found,18.5826404,73.7362473
12,"3 BHK Flat  In Harsh Vihar, Aundh for Rent  In Harsh Vihar, Nagras Road, Ward No. 8, Wireless Colony, Aundh, Pune, Maharashtra, India","wireless colony, new dp road","₹ 30,000 +₹ 2,000Maintenance","₹1,00,000",Rent (Negotiable),Image URL not found,Property type not found,Furnishing not found,Preferred tenants not found,Availability not found,18.594686,73.769122
13,2 BHK Flat  In Sant Apartment for Rent  In Aundh,"Near Parihar chowk traffic Signal,Sanghvi Nagar,  Aundh Gaon, Aundh, Pune, Maharashtra 411007, India","₹ 28,000No Extra Maintenance","₹50,000",Rent (Negotiable),Image URL not found,Property type not found,Furnishing not found,Preferred tenants not found,Availability not found,18.5644173,73.9138634
